CustomerID,Email,Password,Ship_addr,Bill_addr
1,hfayre0@slashdot.org,RFYonwDrK35M,66937 Caliangt Alley,47 Rieder Lane
2,erodden1@ifeng.com,GDFnYxsEkc8E,1359 Eagan Way,39 Oxford Parkway
3,rseebright2@yelp.com,rx3KQ4,8462 Bonner Lane,1 Sugar Court
4,jizakoff3@hatena.ne.jp,mzqOUAkv4,2 Mallard Way,6153 Duke Drive
5,lharkes4@shinystat.com,IDUWBW2F,838 Barby Parkway,959 Hovde Street
6,bcarrigan5@feedburner.com,JgIZEd8iS,7623 Farragut Parkway,330 Grayhawk Point
7,wmcaughtry6@who.int,O4LX9rQfC,910 Amoth Point,88101 Dakota Pass
8,kwhymark7@51.la,UTTbiG,57 Jenna Court,21745 Sommers Pass
9,rcasel8@dagondesign.com,p9UvhJNPLf5,89 Moose Junction,1334 Jenna Avenue
10,wtinton9@cnbc.com,93vsK4,85982 Dovetail Center,717 Columbus Parkway
